fac_id,unt_id,value_ts,insght_value
12139999,1613581,1/6/2019 13:00,16
12139999,1613581,1/6/2019 14:00,15
12139999,1613581,1/6/2019 15:00,12
12139999,1613581,1/6/2019 16:00,10
12139999,1613581,1/6/2019 17:00,9
12139999,1613581,1/6/2019 18:00,12
12139999,1613581,1/6/2019 19:00,10
12139999,1613581,1/6/2019 20:00,8
12139999,1613581,1/6/2019 21:00,11
12139999,1613581,1/6/2019 22:00,9
12139999,1613581,1/6/2019 23:00,9
12139999,1613581,1/7/2019 0:00,11
12139999,1613581,1/7/2019 1:00,12
12139999,1613581,1/7/2019 2:00,13
12139999,1613581,1/7/2019 3:00,12
12139999,1613581,1/7/2019 4:00,8
12139999,1613581,1/7/2019 5:00,8
12139999,1613581,1/7/2019 6:00,10
12139999,1613581,1/7/2019 7:00,8
12139999,1613581,1/7/2019 8:00,8
12139999,1613581,1/7/2019 9:00,8
12139999,1613581,1/7/2019 10:00,9
12139999,1613581,1/7/2019 11:00,8
12139999,1613581,1/7/2019 12:00,8
12139999,1613581,1/7/2019 13:00,8
12139999,1613581,1/7/2019 14:00,8
12139999,1613581,1/7/2019 15:00,7
12139999,1613581,1/7/2019 16:00,8
12139999,1613581,1/7/2019 17:00,5
12139999,1613581,1/7/2019 18:00,4
12139999,1613581,1/7/2019 19:00,1
12139999,1613581,1/7/2019 20:00,4
12139999,1613581,1/7/2019 21:00,7
12139999,1613581,1/7/2019 22:00,10
12139999,1613581,1/7/2019 23:00,9
12139999,1613581,1/8/2019 0:00,10
12139999,1613581,1/8/2019 1:00,6
12139999,1613581,1/8/2019 2:00,6
12139999,1613581,1/8/2019 3:00,7
12139999,1613581,1/8/2019 4:00,7
12139999,1613581,1/8/2019 5:00,6
12139999,1613581,1/8/2019 6:00,9
12139999,1613581,1/8/2019 7:00,8
12139999,1613581,1/8/2019 8:00,9
12139999,1613581,1/8/2019 9:00,11
12139999,1613581,1/8/2019 10:00,14
12139999,1613581,1/8/2019 11:00,16
12139999,1613581,1/8/2019 12:00,17
12139999,1613581,1/8/2019 13:00,17
12139999,1613581,1/8/2019 14:00,18
12139999,1613581,1/8/2019 15:00,13
12139999,1613581,1/8/2019 16:00,15
12139999,1613581,1/8/2019 17:00,13
12139999,1613581,1/8/2019 18:00,15
12139999,1613581,1/8/2019 19:00,14
12139999,1613581,1/8/2019 20:00,15
12139999,1613581,1/8/2019 21:00,13
12139999,1613581,1/8/2019 22:00,11
12139999,1613581,1/8/2019 23:00,9
12139999,1613581,1/9/2019 0:00,9
12139999,1613581,1/9/2019 1:00,9
12139999,1613581,1/9/2019 2:00,7
12139999,1613581,1/9/2019 3:00,9
12139999,1613581,1/9/2019 4:00,6
12139999,1613581,1/9/2019 5:00,7
12139999,1613581,1/9/2019 6:00,9
12139999,1613581,1/9/2019 7:00,10
12139999,1613581,1/9/2019 8:00,10
12139999,1613581,1/9/2019 9:00,11
12139999,1613581,1/9/2019 10:00,16
12139999,1613581,1/9/2019 11:00,15
12139999,1613581,1/9/2019 12:00,18
12139999,1613581,1/9/2019 13:00,19
12139999,1613581,1/9/2019 14:00,15
12139999,1613581,1/9/2019 15:00,19
12139999,1613581,1/9/2019 16:00,17
12139999,1613581,1/9/2019 17:00,18
12139999,1613581,1/9/2019 18:00,18
12139999,1613581,1/9/2019 19:00,17
12139999,1613581,1/9/2019 20:00,14
12139999,1613581,1/9/2019 21:00,12
12139999,1613581,1/9/2019 22:00,14
12139999,1613581,1/9/2019 23:00,11
12139999,1613581,1/10/2019 0:00,11
12139999,1613581,1/10/2019 1:00,10
12139999,1613581,1/10/2019 3:00,9
12139999,1613581,1/10/2019 4:00,9
12139999,1613581,1/10/2019 5:00,9
12139999,1613581,1/10/2019 6:00,11
12139999,1613581,1/10/2019 7:00,13
12139999,1613581,1/10/2019 8:00,9
12139999,1613581,1/10/2019 9:00,13
12139999,1613581,1/10/2019 10:00,15
12139999,1613581,1/10/2019 11:00,16
12139999,1613581,1/10/2019 12:00,16
12139999,1613581,1/10/2019 13:00,19
12139999,1613581,1/10/2019 14:00,15
12139999,1613581,1/10/2019 15:00,12
12139999,1613581,1/10/2019 16:00,11
12139999,1613581,1/10/2019 17:00,10
12139999,1613581,1/10/2019 18:00,12
12139999,1613581,1/10/2019 19:00,8
12139999,1613581,1/10/2019 20:00,7
12139999,1613581,1/10/2019 21:00,8
12139999,1613581,1/10/2019 22:00,11
12139999,1613581,1/10/2019 23:00,13
12139999,1613581,1/11/2019 0:00,14
12139999,1613581,1/11/2019 1:00,15
12139999,1613581,1/11/2019 2:00,17
12139999,1613581,1/11/2019 3:00,17
12139999,1613581,1/11/2019 4:00,17
12139999,1613581,1/11/2019 5:00,14
12139999,1613581,1/11/2019 6:00,13
12139999,1613581,1/11/2019 7:00,15
12139999,1613581,1/11/2019 8:00,15
12139999,1613581,1/11/2019 9:00,17
12139999,1613581,1/11/2019 10:00,21
12139999,1613581,1/11/2019 11:00,23
12139999,1613581,1/11/2019 12:00,23
12139999,1613581,1/11/2019 13:00,24
12139999,1613581,1/11/2019 14:00,22
12139999,1613581,1/11/2019 15:00,21
12139999,1613581,1/11/2019 16:00,16
